ADM2_EN,ADM2_FR,ADM2_PCODE,ADM1_PCODE,DATE,VALIDON
,Bamboutos,CM008001,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bénoué,CM006001,CM006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Boumba-et-Ngoko,CM003001,CM003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Boyo,CM007001,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bui,CM007002,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Diamaré,CM004001,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Dja-et-Lobo,CM009001,CM009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Djérem,CM001001,CM001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Donga-Mantung,CM007003,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Fako,CM010001,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Faro,CM006002,CM006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Faro-et-Déo,CM001002,CM001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Haut-Nkam,CM008002,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Haut-Nyong,CM003002,CM003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Haute-Sanaga,CM002001,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Hauts-Plateaux,CM008003,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kadei,CM003003,CM003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Koung-Khi,CM008004,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Kupe-Manenguba,CM010002,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lebialem,CM010003,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lekié,CM002002,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Logone-et-Chari,CM004002,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Lom-et-Djérem,CM003004,CM003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Manyu,CM010004,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Banyo,CM001003,CM001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Danay,CM004003,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Kani,CM004004,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Louti,CM006003,CM006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Rey,CM006004,CM006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Sava,CM004005,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mayo-Tsanaga,CM004006,CM004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbam-et-Inoubou,CM002003,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbam-et-Kim,CM002004,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mbéré,CM001004,CM001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mefou-et-Afamba,CM002005,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mefou-et-Akono,CM002006,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Meme,CM010005,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Menchum,CM007004,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Menoua,CM008005,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mezam,CM007005,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mfoundi,CM002007,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mifi,CM008006,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Momo,CM007006,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Moungo,CM005001,CM005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Mvila,CM009002,CM009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndé,CM008007,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ndian,CM010006,CM010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ngo-Ketunjia,CM007007,CM007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nkam,CM005002,CM005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Noun,CM008008,CM008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nyong-et-Kellé,CM002008,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nyong-et-Mfoumou,CM002009,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Nyong-et-So'o,CM002010,CM002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Océan,CM009003,CM009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Sanaga-Maritime,CM005003,CM005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Vallée-du-Ntem,CM009004,CM009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Vina,CM001005,CM001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Wouri,CM005004,CM005,2018-12-17 00:00:00,2019-01-04 00:00:00
